word,ko,zh_Hans,etym_zh_Hans,pron,ant,syn,etym,syn
unrivaled,"경쟁자[상대]가 없는, 무적의, 무쌍의, 비할 데 없는",无敌的;无双的,,/ˌənˈrīvəld/,,", without equal, unparalleled, without parallel, matchless, unmatched, peerless, without peer, unsurpassed, unbeaten, unexcelled, incomparable, beyond compare, inimitable",,", without equal, unparalleled, without parallel, matchless, unmatched, peerless, without peer, unsurpassed, unbeaten, unexcelled, incomparable, beyond compare, inimitable"
serendipity,뜻밖의 재미[기쁨],（偶然发现有趣或珍贵之物的）机缘，幸运,,/ˌsɛr(ə)nˈdɪpɪti/,,", happy chance, accident, happy accident, fluke",,", happy chance, accident, happy accident, fluke"
cursive,필기체인,草书的；连笔的,,/ˈkəːsɪv/,,,,
exhume,(특히 검시를 위해 시체를) 파내다[발굴하다],（从坟墓中）掘出（尸体）,,/ɛksˈ(h)juːm/,,", dig up, unearth, bring out of the ground",,", dig up, unearth, bring out of the ground"
talisman,(행운을 가져다준다고 여겨지는) 부적(符籍),护身符；避邪物,,/ˈtalɪzmən/,,", charm, fetish, amulet, mascot, totem, idol, juju, phylactery",,", charm, fetish, amulet, mascot, totem, idol, juju, phylactery"
inane,어리석은; 무의미한,极其愚蠢的；无意义的；无聊的,,/ɪˈneɪn/,,", foolish, stupid, fatuous, idiotic, absurd, ridiculous, ludicrous, laughable, risible, imbecilic, moronic, cretinous, unintelligent, witless, asinine, pointless, senseless, frivolous, nonsensical, brainless, mindless, thoughtless, vacuous, vapid, empty-headed",,", foolish, stupid, fatuous, idiotic, absurd, ridiculous, ludicrous, laughable, risible, imbecilic, moronic, cretinous, unintelligent, witless, asinine, pointless, senseless, frivolous, nonsensical, brainless, mindless, thoughtless, vacuous, vapid, empty-headed"
concentric,"중심이 같은, 동심원의",（指圆）同心的,,/kənˈsɛntrɪk/,,,,
abatement,"감소, 감퇴; 경감, 완화; (가격·세 등의) 경감액",减弱;减轻;减少,,/əˈbeɪtm(ə)nt/,,", dying away, dying down, dying out, dropping away, dropping off, lessening, easing, easing off, decrease, diminishing, moderation, decline, declining, fade, dwindling, cooling off, tailing off, petering out, tapering off, wane, waning, ebb, relenting, desisting, weakening",,", dying away, dying down, dying out, dropping away, dropping off, lessening, easing, easing off, decrease, diminishing, moderation, decline, declining, fade, dwindling, cooling off, tailing off, petering out, tapering off, wane, waning, ebb, relenting, desisting, weakening"
anathema,"절대 반대(하는 것), 아주 싫은 것",令人讨厌的事物,,/əˈnaθəmə/,,", hateful, odious, repugnant, repellent, offensive",,", hateful, odious, repugnant, repellent, offensive"
acclaim,"칭송하다, 환호를 보내다",（公开的）称誉；赞赏；欢迎,,/əˈkleɪm/,,", admired, highly rated, lionized, revered, honoured, esteemed, exalted, lauded, vaunted, much touted, well thought of, well received, acknowledged",,", admired, highly rated, lionized, revered, honoured, esteemed, exalted, lauded, vaunted, much touted, well thought of, well received, acknowledged"
flagrant,"노골적인, 명백한",骇人听闻的；公然的；罪恶昭彰的,,/ˈfleɪɡr(ə)nt/,,", glaring, obvious, overt, evident, conspicuous",,", glaring, obvious, overt, evident, conspicuous"
chicanery,교묘한 속임수,诡辩；诡计；欺诈,,/ʃɪˈkeɪnəri/,,", deception, deceit, deceitfulness, duplicity, dishonesty, unscrupulousness, underhandedness, subterfuge, fraud, fraudulence, legerdemain, sophistry, sharp practice, skulduggery, swindling, cheating, duping, hoodwinking",,", deception, deceit, deceitfulness, duplicity, dishonesty, unscrupulousness, underhandedness, subterfuge, fraud, fraudulence, legerdemain, sophistry, sharp practice, skulduggery, swindling, cheating, duping, hoodwinking"
depraved,(도덕적으로) 타락한[부패한],道德败坏的，堕落的，恶毒的,,/dɪˈpreɪvd/,,", corrupted, perverted, deviant, degenerate, debased, degraded, immoral, unprincipled, reprobate",,", corrupted, perverted, deviant, degenerate, debased, degraded, immoral, unprincipled, reprobate"
hike,(가격경비 등의) 대폭 인상[급등],(价格、花费等的)大幅度提高，猛增；把(价格、税率等)大幅提高,,/hʌɪk/,,", trek, tramp, trudge, traipse, slog, footslog, plod, march, journey on foot",,", trek, tramp, trudge, traipse, slog, footslog, plod, march, journey on foot"
distaste,"불쾌감, 혐오감",厌恶，讨厌，不喜欢,,/dɪsˈteɪst/,,", disfavour, disdain",,", disfavour, disdain"
peruse,숙독[정독]하다,随便翻阅；浏览,,/pəˈruːz/,,", flick, flip, skim, browse, glance, look, riffle",,", flick, flip, skim, browse, glance, look, riffle"
fusillade,연속 사격; 빗발치는 것,（子弹的）齐射，连发,,/ˌfjuːzɪˈleɪd/,,", volley, barrage, bombardment, cannonade, battery, burst, blast, hail, shower, rain, stream, broadside, blitz, discharge",,", volley, barrage, bombardment, cannonade, battery, burst, blast, hail, shower, rain, stream, broadside, blitz, discharge"
riposte,(특히 비판에 대한 기지 있는) 응수[반격],机敏的回答；巧妙的应对,,/rɪˈpɒst/,,", counter, rejoinder, sally, return, retaliation, answer, reply, response",,", counter, rejoinder, sally, return, retaliation, answer, reply, response"
conjecture,추측(한 내용),推测；猜测；猜想；臆断,,/kənˈdʒɛktʃə/,,", speculation, surmise, fancy, notion, belief, suspicion, presumption, assumption, theory, hypothesis, postulation, supposition",,", speculation, surmise, fancy, notion, belief, suspicion, presumption, assumption, theory, hypothesis, postulation, supposition"
mercurial,변덕스러운,多变的，反覆无常的,,/məːˈkjʊərɪəl/,,", capricious, temperamental, excitable, fickle, changeable, unpredictable, variable, protean, mutable, erratic, quicksilver, inconstant, inconsistent, unstable, unsteady, fluctuating, ever-changing, kaleidoscopic, fluid, wavering, vacillating, moody, flighty, wayward, whimsical, giddy, impulsive",,", capricious, temperamental, excitable, fickle, changeable, unpredictable, variable, protean, mutable, erratic, quicksilver, inconstant, inconsistent, unstable, unsteady, fluctuating, ever-changing, kaleidoscopic, fluid, wavering, vacillating, moody, flighty, wayward, whimsical, giddy, impulsive"
acumen,(일에 대한) 감각,敏锐；精明,,/ˈakjʊmən/,,", awareness, shrewdness, acuity, sharpness, sharp-wittedness, cleverness, brightness, smartness",,", awareness, shrewdness, acuity, sharpness, sharp-wittedness, cleverness, brightness, smartness"
fallacy,(많은 사람들이 옳다고 믿는) 틀린 생각,谬见，谬论，谬误,,/ˈfaləsi/,,", mistaken belief, misbelief, delusion, false notion, mistaken impression, misapprehension, misjudgement, miscalculation, misinterpretation, misconstruction, error, mistake, untruth, inconsistency, illusion, myth, fantasy, deceit, deception, sophism",,", mistaken belief, misbelief, delusion, false notion, mistaken impression, misapprehension, misjudgement, miscalculation, misinterpretation, misconstruction, error, mistake, untruth, inconsistency, illusion, myth, fantasy, deceit, deception, sophism"
intransigent,"고집스러운, 비협조적인",固执的，不妥协的，不让步的,,/ɪnˈtransɪdʒ(ə)nt/,,", inflexible, unbending, unyielding, unshakeable, unwavering, resolute, unpersuadable, unmalleable, unaccommodating, uncooperative, stubborn, obstinate, obdurate, pig-headed, bull-headed, single-minded, iron-willed, hard-line, hard and fast, diehard, immovable, unrelenting, inexorable, inveterate, rigid, tough, firm, determined, adamant, tenacious",,", inflexible, unbending, unyielding, unshakeable, unwavering, resolute, unpersuadable, unmalleable, unaccommodating, uncooperative, stubborn, obstinate, obdurate, pig-headed, bull-headed, single-minded, iron-willed, hard-line, hard and fast, diehard, immovable, unrelenting, inexorable, inveterate, rigid, tough, firm, determined, adamant, tenacious"
ludicrous,터무니없는,愚蠢可笑的；荒谬的,,/ˈl(j)uːdɪkrəs/,,", ridiculous, farcical, laughable, risible, preposterous, foolish, idiotic, stupid, inane, silly, asinine, nonsensical",,", ridiculous, farcical, laughable, risible, preposterous, foolish, idiotic, stupid, inane, silly, asinine, nonsensical"
articulate,(생각감정을) 분명히 표현하다[설명하다],能表达清楚的，善于表达的；口齿伶俐的，有口才的,,/ɑːˈtɪkjʊlət/,,", fluent, communicative, effective, persuasive, coherent, lucid, vivid, expressive, silver-tongued, vocal",,", fluent, communicative, effective, persuasive, coherent, lucid, vivid, expressive, silver-tongued, vocal"
incursion,급습,（尤指跨越边境的）侵入，侵犯,,/ɪnˈkəːʃ(ə)n/,,", assault on, raid on, invasion of, storming of, overrunning of, foray into, blitz on, sortie into, sally against, sally into, advance into, advance on, push into, thrust into, descent on",,", assault on, raid on, invasion of, storming of, overrunning of, foray into, blitz on, sortie into, sally against, sally into, advance into, advance on, push into, thrust into, descent on"
vindictive,"앙심을 품은, 보복을 하려는",想复仇的；报复性的；怀恨在心的,,/vɪnˈdɪktɪv/,,", out for revenge, revengeful, avenging, unforgiving, grudge-bearing, resentful, ill-disposed, implacable, unrelenting, acrimonious, bitter",,", out for revenge, revengeful, avenging, unforgiving, grudge-bearing, resentful, ill-disposed, implacable, unrelenting, acrimonious, bitter"
perfunctory,형식[의무/습관]적인,草率的；马虎的；敷衍的,,/pəˈfʌŋ(k)t(ə)ri/,,", desultory",,", desultory"
allegory,"우화, 풍자",寓言；讽喻,,/ˈalɪɡ(ə)ri/,,", analogy, metaphor, symbol, emblem",,", analogy, metaphor, symbol, emblem"
fiduciary,(자산) 신탁의,信托的；信用的,,/fɪˈdjuːʃ(ə)ri/,,,,
rebuke,"힐책[질책]하다, 꾸짖다",斥责；指责；训斥,,/rɪˈbjuːk/,,", reproach, scold, admonish, reprove, remonstrate with, chastise, chide, upbraid, berate, take to task, pull up, castigate, lambaste, read someone the Riot Act, give someone a piece of one's mind, haul over the coals, criticize, censure",,", reproach, scold, admonish, reprove, remonstrate with, chastise, chide, upbraid, berate, take to task, pull up, castigate, lambaste, read someone the Riot Act, give someone a piece of one's mind, haul over the coals, criticize, censure"
