word,ko,zh,pron_us,pron_uk
unrivaled,"경쟁자[상대]가 없는, 무적의, 무쌍의, 비할 데 없는",,,
serendipity,뜻밖의 재미[기쁨],（偶然發現有趣或珍貴之物的）機緣，幸運,ˌser.ənˈdɪp.ə.ti,ˌser.ənˈdɪp.ə.ti
cursive,필기체인,草書的；連筆的,ˈkɜː.sɪv,ˈkɜː.sɪv
exhume,(특히 검시를 위해 시체를) 파내다[발굴하다],（從墳墓中）掘出（屍體）,eksˈhjuːm,eksˈhjuːm
talisman,(행운을 가져다준다고 여겨지는) 부적(符籍),護身符；避邪物,ˈtæl.ɪz.mən,ˈtæl.ɪz.mən
inane,어리석은; 무의미한,極其愚蠢的；無意義的；無聊的,ɪˈneɪn,ɪˈneɪn
concentric,"중심이 같은, 동심원의",（指圓）同心的,kənˈsen.trɪk,kənˈsen.trɪk
abatement,"감소, 감퇴; 경감, 완화; (가격·세 등의) 경감액",,,
anathema,"절대 반대(하는 것), 아주 싫은 것",令人討厭的事物,əˈnæθ.ə.mə,əˈnæθ.ə.mə
acclaim,"칭송하다, 환호를 보내다",（公開的）稱譽；讚賞；歡迎,əˈkleɪm,əˈkleɪm
flagrant,"노골적인, 명백한",駭人聽聞的；公然的；罪惡昭彰的,ˈfleɪ.ɡrənt,ˈfleɪ.ɡrənt
chicanery,교묘한 속임수,詭辯；詭計；欺詐,ʃɪˈkeɪ.nər.i,ʃɪˈkeɪ.nər.i
depraved,(도덕적으로) 타락한[부패한],道德敗壞的，墮落的，惡毒的,dɪˈpreɪvd,dɪˈpreɪvd
hike,"하이킹, (장거리) 도보 여행",（尤指鄉間的）遠足，長途健行,haɪk,haɪk
distaste,"불쾌감, 혐오감",厭惡，討厭，不喜歡,dɪsˈteɪst,dɪsˈteɪst
peruse,숙독[정독]하다,隨便翻閱；瀏覽,pəˈruːz,pəˈruːz
fusillade,연속 사격; 빗발치는 것,（子彈的）齊射，連發,ˌfjuː.zɪˈleɪd,ˌfjuː.zɪˈleɪd
